OBSERVATION COUNT,STATE_PROVINCE,CODE,LATITUDE,LONGITUDE,OBSERVATION DATE,MONTH
X,Texas,TX,32.3126747,-97.9919133,5/1/16,5
X,Texas,TX,28.13255,-96.985052,5/1/16,5
X,Texas,TX,29.5611021,-94.390117,5/1/16,5
X,Texas,TX,29.5611021,-94.390117,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,29.857,-95.164,5/1/16,5
X,Texas,TX,29.5611021,-94.390117,5/1/16,5
X,Texas,TX,29.600146,-94.526612,5/1/16,5
X,Texas,TX,29.857,-95.164,5/1/16,5
X,Texas,TX,30.4489356,-99.8142467,5/1/16,5
X,Texas,TX,30.607703,-96.3340473,5/1/16,5
X,Texas,TX,26.1117321,-97.1682143,5/1/16,5
X,Texas,TX,30.4489356,-99.8142467,5/2/16,5
X,Texas,TX,30.4489356,-99.8142467,5/3/16,5
X,Texas,TX,26.1400912,-97.1748233,5/3/16,5
X,Texas,TX,29.6549819,-97.5998459,5/3/16,5
X,Texas,TX,26.1117321,-97.1682143,5/3/16,5
X,Texas,TX,35.6112989,-101.7505592,5/4/16,5
X,Texas,TX,26.1400912,-97.1748233,5/4/16,5
X,Texas,TX,29.1873567,-99.7886572,5/4/16,5
X,Texas,TX,27.3280664,-98.9715815,5/5/16,5
X,Texas,TX,26.1400864,-97.1748716,5/5/16,5
X,New Mexico,NM,32.1091003,-104.4710999,5/5/16,5
X,Texas,TX,30.2181988,-97.6458054,5/6/16,5
X,Texas,TX,29.1869923,-99.8330212,5/6/16,5
X,Oklahoma,OK,36.0664781,-95.9919703,5/6/16,5
X,Georgia,GA,31.103757,-81.412196,5/6/16,5
X,Texas,TX,31.9840547,-96.0847092,5/6/16,5
X,Texas,TX,29.494347,-99.7218704,5/6/16,5
X,Texas,TX,26.1260304,-97.9559173,5/7/16,5
X,Texas,TX,30.7371512,-99.225297,5/7/16,5
X,Kansas,KS,37.0367833,-96.9335854,5/7/16,5
X,Texas,TX,26.5118247,-98.1917667,5/7/16,5
X,Texas,TX,26.5118247,-98.1917667,5/7/16,5
X,Texas,TX,32.3289899,-100.931139,5/7/16,5
X,Louisiana,LA,30.3685802,-91.635139,5/7/16,5
X,Louisiana,LA,30.4576264,-91.7298961,5/7/16,5
X,Texas,TX,30.4958792,-98.8198864,5/7/16,5
X,Texas,TX,30.2181988,-97.6458054,5/7/16,5
X,Oklahoma,OK,34.7329472,-98.712981,5/7/16,5
X,Texas,TX,29.87825,-99.34535,5/7/16,5
X,Oklahoma,OK,33.9551078,-94.7047234,5/8/16,5
X,Texas,TX,30.6899248,-103.7894511,5/8/16,5
X,Georgia,GA,31.1047955,-81.4110518,5/8/16,5
X,Texas,TX,28.8938016,-95.5819988,5/8/16,5
X,Texas,TX,29.4864551,-99.7532484,5/8/16,5
X,Texas,TX,26.5118247,-98.1917667,5/8/16,5
X,Texas,TX,30.2584564,-97.8353226,5/8/16,5
X,Oklahoma,OK,35.6186308,-99.702181,5/8/16,5
X,Kansas,KS,37.0989345,-96.8022108,5/8/16,5
X,Kansas,KS,37.0989345,-96.8022108,5/8/16,5
X,Oklahoma,OK,33.7330017,-94.6083984,5/9/16,5
X,Texas,TX,28.4481664,-98.361969,5/9/16,5
X,Texas,TX,28.4481664,-98.361969,5/9/16,5
X,California,CA,37.4057129,-121.9552374,5/9/16,5
X,Texas,TX,28.4481664,-98.361969,5/9/16,5
X,Texas,TX,29.4917768,-103.4670389,5/9/16,5
X,Texas,TX,28.4481664,-98.361969,5/9/16,5
X,Texas,TX,28.4481664,-98.361969,5/9/16,5
X,Texas,TX,31.9840547,-96.0847092,5/10/16,5
X,Texas,TX,32.0072572,-96.0806322,5/10/16,5
X,Texas,TX,29.9737353,-98.202399,5/10/16,5
X,Texas,TX,32.843776,-95.984878,5/10/16,5
X,Texas,TX,30.2594008,-98.0225301,5/10/16,5
X,Texas,TX,31.9840547,-96.0847092,5/10/16,5
X,Texas,TX,32.0072572,-96.0806322,5/10/16,5
X,Texas,TX,27.3280664,-98.9715815,5/11/16,5
X,Texas,TX,29.8616182,-98.2501745,5/11/16,5
X,Oklahoma,OK,34.751345,-98.6803579,5/11/16,5
X,Texas,TX,29.4917768,-103.4670389,5/11/16,5
X,Texas,TX,26.1260304,-97.9559173,5/11/16,5
X,Texas,TX,32.3237679,-98.4662104,5/11/16,5
X,Oklahoma,OK,36.7481995,-98.1447983,5/12/16,5
X,Texas,TX,27.3280664,-98.9715815,5/12/16,5
X,Texas,TX,29.216651,-103.2663526,5/12/16,5
X,Oklahoma,OK,34.1856069,-96.6509428,5/12/16,5
X,Texas,TX,29.6148414,-94.5344353,5/12/16,5
X,Texas,TX,32.2019075,-98.0513906,5/12/16,5
X,Texas,TX,32.2738351,-94.5664072,5/13/16,5
X,Oklahoma,OK,34.5045408,-96.9513845,5/13/16,5
X,Texas,TX,29.4917768,-103.4670389,5/13/16,5
X,Mississippi,MS,31.3199143,-89.2680359,5/14/16,5
X,Oklahoma,OK,34.7029391,-98.6359406,5/14/16,5
X,Texas,TX,30.19021,-98.08669,5/14/16,5
X,Louisiana,LA,30.021403,-90.4073478,5/14/16,5
X,Texas,TX,32.6154422,-96.9749665,5/14/16,5
X,Louisiana,LA,30.021403,-90.4073478,5/14/16,5
X,Texas,TX,27.8320175,-97.0713758,5/15/16,5
X,Texas,TX,27.8320175,-97.0713758,5/15/16,5
X,Louisiana,LA,31.232574,-92.4360251,5/15/16,5
X,Texas,TX,30.649305,-99.039651,5/15/16,5
X,Texas,TX,30.2584564,-97.8353226,5/15/16,5
X,Texas,TX,32.2144078,-98.2032198,5/15/16,5
X,Georgia,GA,31.1081393,-81.4071518,5/16/16,5
X,Texas,TX,30.19021,-98.08669,5/16/16,5
X,Texas,TX,30.649305,-99.039651,5/16/16,5
X,Texas,TX,30.649305,-99.039651,5/18/16,5
X,Texas,TX,30.19021,-98.08669,5/20/16,5
X,Texas,TX,29.609375,-98.2426827,5/20/16,5
X,Texas,TX,30.649305,-99.039651,5/20/16,5
X,Georgia,GA,31.1791045,-81.3737629,5/20/16,5
X,Texas,TX,33.1584503,-96.6153376,5/20/16,5
X,South Carolina,SC,33.070218,-79.5199871,5/21/16,5
X,Alabama,AL,30.72011,-88.0342,5/21/16,5
X,Texas,TX,29.97691,-98.26589,5/21/16,5
X,Texas,TX,30.3031006,-98.2434998,5/21/16,5
X,Texas,TX,29.9031233,-97.9679485,5/21/16,5
X,Texas,TX,29.9031233,-97.9679485,5/21/16,5
X,Texas,TX,29.9031233,-97.9679485,5/21/16,5
X,Texas,TX,30.4826306,-97.8739357,5/21/16,5
X,Texas,TX,29.4917768,-103.4670389,5/21/16,5
X,Texas,TX,30.3031006,-98.2434998,5/21/16,5
X,Texas,TX,32.2144078,-98.2032198,5/21/16,5
X,Texas,TX,30.2181988,-97.6458054,5/21/16,5
X,Texas,TX,30.3031006,-98.2434998,5/21/16,5
X,Texas,TX,29.9031233,-97.9679485,5/21/16,5
X,Texas,TX,29.609375,-98.2426827,5/22/16,5
X,Texas,TX,30.649305,-99.039651,5/22/16,5
X,Oklahoma,OK,34.7029391,-98.6359406,5/22/16,5
X,Texas,TX,29.4917768,-103.4670389,5/22/16,5
X,Texas,TX,29.609375,-98.2426827,5/22/16,5
X,Oklahoma,OK,36.0146627,-97.2296423,5/22/16,5
X,Texas,TX,29.609375,-98.2426827,5/22/16,5
X,Oklahoma,OK,34.7235091,-98.6991119,5/23/16,5
X,Texas,TX,29.1809226,-102.9557133,5/23/16,5
X,Texas,TX,29.4917768,-103.4670389,5/23/16,5
X,Texas,TX,32.1783731,-98.2292318,5/23/16,5
X,Texas,TX,29.2482183,-103.2933675,5/24/16,5
X,Oklahoma,OK,35.6151685,-96.0690618,5/25/16,5
X,Texas,TX,29.4917768,-103.4670389,5/25/16,5
X,Texas,TX,30.9088599,-98.9775489,5/26/16,5
X,Texas,TX,29.4917768,-103.4670389,5/28/16,5
X,South Carolina,SC,32.7662744,-79.8227763,5/29/16,5
X,North Carolina,NC,34.5577045,-77.2879171,5/30/16,5
X,Texas,TX,32.1783731,-98.2292318,5/30/16,5
X,Texas,TX,30.649305,-99.039651,5/31/16,5
X,South Carolina,SC,32.7038313,-80.6007189,5/31/16,5
X,Georgia,GA,31.1081393,-81.4071518,6/1/16,6
X,Texas,TX,27.3280664,-98.9715815,6/1/16,6
X,Texas,TX,27.3280664,-98.9715815,6/2/16,6
X,Texas,TX,30.6815839,-101.7760134,6/3/16,6
X,South Carolina,SC,32.9245384,-79.709976,6/4/16,6
X,Texas,TX,32.8062014,-94.5928001,6/4/16,6
X,Texas,TX,30.46857,-101.799521,6/4/16,6
X,Texas,TX,30.46857,-101.799521,6/4/16,6
X,Texas,TX,31.1669847,-100.4904413,6/4/16,6
X,South Carolina,SC,33.400172,-79.138513,6/6/16,6
X,South Carolina,SC,33.4184769,-79.1280218,6/6/16,6
X,Texas,TX,32.3088979,-97.0178604,6/7/16,6
X,Texas,TX,33.0463492,-96.8479638,6/7/16,6
X,Texas,TX,32.435613,-100.3115273,6/8/16,6
X,Texas,TX,27.3280664,-98.9715815,6/8/16,6
